AGEB_ID,Males,Females,0-14 years,15-64 years,65+ years,yes,no,Roman Catholics,Protestants,No religion,Population,Area,Density,Other religion
3105000016558,874,967,320,1371,150,1494,27,1375,313,149,1841,0.21867km²,8419/km²,
3105000845954,216,200,99,267,50,317,,349,21,39,416,0.43190km²,963.2/km²,
310500001078A,717,738,391,1004,60,1050,14,1043,271,141,1455,6.608km²,220.2/km²,
3105000013445,884,896,409,1247,123,1300,71,1285,291,166,1780,1.454km²,1224/km²,30
3105000015969,150,140,72,190,28,203,15,144,105,40,290,0.26206km²,1107/km²,
3105000016365,837,958,298,1367,130,1480,17,1332,219,238,1795,0.24668km²,7277/km²,
3105000016670,234,260,156,320,18,332,6,297,93,95,494,0.048100km²,10270/km²,6
3105000755564,10,14,7,17,,17,,23,,,24,0.083490km²,287.5/km²,
3105000754424,17,20,15,22,,22,,28,,8,37,0.032970km²,1122/km²,
3105000756011,16,8,4,20,,20,,23,,,24,0.064240km²,373.6/km²,
3105000774941,24,18,11,29,,31,,31,10,,42,0.11525km²,364.4/km²,
3105000935668,779,766,424,1040,81,1073,48,979,298,267,1545,0.69826km²,2213/km²,
3105000933820,,,,,,5,,,,,5,0.098670km²,50.67/km²,
3105000932127,1256,1197,582,1687,184,1773,98,1353,563,536,2453,1.079km²,2274/km²,
3105000774392,1076,1067,520,1452,171,1545,78,1214,665,229,2143,1.486km²,1442/km²,21
3105000843568,527,549,126,380,54,950,,434,59,52,1076,1.421km²,757.1/km²,6
310500093555A,27,25,13,36,3,39,,12,29,11,52,0.11568km²,449.5/km²,
3105000935653,698,673,342,944,85,970,59,633,426,311,1371,1.570km²,873.1/km²,
3105000842199,1546,1588,714,2167,253,2331,89,2480,357,284,3134,1.214km²,2582/km²,5
3105000776331,37,28,18,47,,47,,32,27,5,65,0.18775km²,346.2/km²,
310500001676A,174,194,83,263,22,285,,292,28,44,368,0.085220km²,4318/km²,
3105000016454,1037,1097,428,1601,105,1703,3,1511,281,323,2134,0.35752km²,5969/km²,10
3105000017024,481,534,187,774,54,828,,722,111,166,1015,0.27716km²,3662/km²,9
3105000016914,302,330,131,468,33,501,,473,62,85,632,0.68968km²,916.4/km²,4
3105000016929,202,254,107,331,18,349,,359,40,50,456,0.25253km²,1806/km²,6
3105000016806,564,599,256,852,55,907,,961,74,119,1163,0.52548km²,2213/km²,7
3105000016740,1326,1309,723,1865,47,1903,9,1786,423,421,2635,1.450km²,1817/km²,5
3105000016878,1471,1520,820,2111,59,2151,20,2028,499,437,2991,0.51079km²,5856/km²,19
3105000014462,604,659,262,940,58,1001,,835,213,205,1263,0.36217km²,3487/km²,6
3105000014871,328,285,144,439,30,451,18,391,135,85,613,2.292km²,267.5/km²,
3105000017039,92,75,61,105,,106,,97,39,30,167,0.038130km²,4380/km²,
3105000015475,983,1078,423,1508,123,1632,6,1380,321,346,2061,0.31349km²,6574/km²,3
3105000014903,1038,1077,511,1493,100,1598,6,1497,332,259,2115,0.66169km²,3196/km²,13
3105000016257,110,111,46,159,16,175,,195,6,15,221,1.071km²,206.4/km²,4
3105000016789,188,245,63,367,3,370,,291,51,81,433,0.60889km²,711.1/km²,
3105000016581,13,8,,14,5,16,5,8,7,6,21,0.24201km²,86.77/km²,
3105000016810,1654,1696,885,2385,80,2456,9,2261,570,510,3350,0.49821km²,6724/km²,7
3105000016882,801,861,386,1238,38,1267,9,1129,278,254,1662,0.38401km²,4328/km²,
