AGEB_ID,Males,Females,0-14 years,15-64 years,65+ years,yes,no,Roman Catholics,Protestants,No religion,Population,Area,Density,Other religion
3105000010544,1050,1254,301,1472,531,1987,16,2038,159,102,2304,0.43693km²,5273/km²,5
3105000014570,1397,1503,445,2243,209,2451,4,2263,261,358,2900,0.49812km²,5822/km²,8
310500001523A,559,713,108,807,357,1158,6,1076,65,117,1272,0.28484km²,4466/km²,10
3105000016844,718,696,320,1046,48,1089,5,1000,207,197,1414,0.47592km²,2971/km²,8
3105000012860,860,1011,307,1222,342,1534,30,1634,100,129,1871,0.36013km²,5195/km²,8
3105000012521,1816,1885,666,2730,298,3009,26,3115,347,214,3701,0.47721km²,7755/km²,7
3105000014176,974,1029,422,1331,244,1520,61,1511,314,171,2003,0.25386km²,7890/km²,
3105000016755,428,447,242,616,17,633,,650,132,82,875,0.46292km²,1890/km²,
3105000015723,858,1021,483,1301,86,1378,18,1181,288,395,1879,0.27850km²,6747/km²,5
3105000012729,560,611,142,761,268,1017,12,916,125,125,1171,0.24083km²,4862/km²,5
3105000010826,1900,1955,774,2585,496,2971,110,2830,627,368,3855,0.53497km²,7206/km²,14
3105000013159,1674,1786,706,2269,455,2633,121,2480,625,314,3460,0.47268km²,7320/km²,9
3105000016187,290,316,187,398,21,400,19,374,82,149,606,0.069910km²,8668/km²,
3105000014072,591,656,120,732,391,1120,7,1068,39,129,1247,0.24674km²,5054/km²,
3105000014138,1332,1408,564,1825,326,2102,74,1998,437,276,2740,0.34244km²,8001/km²,3
3105000011773,1307,1464,478,1965,327,2257,36,2295,328,144,2771,0.52858km²,5242/km²,
3105000013708,658,804,165,1052,245,1292,5,1262,92,93,1462,0.43357km²,3372/km²,5
3105000011716,956,1099,202,1201,652,1844,9,1758,64,206,2055,0.50197km²,4094/km²,7
310500001509A,740,850,222,1198,170,1360,8,1312,144,128,1590,0.25441km²,6250/km²,5
3105000015672,1321,1359,702,1901,77,1956,22,1809,481,380,2680,0.31810km²,8425/km²,10
3105000011241,1270,1369,513,1737,389,2085,41,2142,278,210,2639,0.19905km²,13258/km²,
3105000015598,906,1011,267,1453,195,1647,3,1691,96,119,1917,0.81574km²,2350/km²,3
3105000014481,1450,1520,518,2245,168,2422,30,2171,393,358,2970,0.42131km²,7049/km²,9
3105000015831,1437,1451,762,2016,110,2118,8,2131,431,309,2888,0.38756km²,7452/km²,16
3105000015719,1412,1538,788,2056,106,2144,18,2141,488,304,2950,0.41582km²,7094/km²,16
3105000012517,507,601,117,803,188,987,4,939,73,91,1108,0.29020km²,3818/km²,
3105000013290,1320,1376,661,1877,151,1912,123,1831,582,272,2696,0.46619km²,5783/km²,4
3105000014195,922,1154,269,1613,186,1801,6,1621,138,282,2076,0.46849km²,4431/km²,19
3105000013430,930,1091,266,1555,200,1743,12,1590,226,198,2021,0.21504km²,9398/km²,4
3105000012540,676,776,167,1091,192,1282,3,1159,93,189,1452,0.37251km²,3898/km²,4
3105000013765,1063,1156,325,1761,133,1891,3,1752,258,204,2219,0.25256km²,8786/km²,5
3105000014829,1277,1335,513,1990,105,2073,26,2150,292,164,2612,0.29352km²,8899/km²,
3105000012907,2465,2719,1108,3713,361,4001,75,4288,521,364,5184,0.33490km²,15479/km²,9
3105000012574,78,111,36,144,9,153,,175,5,8,189,0.091380km²,2068/km²,
3105000014161,864,931,414,1246,135,1314,67,1074,448,268,1795,0.32343km²,5550/km²,
3105000013055,994,1052,429,1372,241,1539,78,1372,499,169,2046,0.58557km²,3494/km²,
3105000014104,762,911,195,1059,419,1461,17,1296,123,253,1673,0.41079km²,4073/km²,
3105000015780,1012,1010,584,1377,60,1429,9,1393,318,302,2022,0.33021km²,6123/km²,8
3105000013854,1473,1522,662,2209,124,2301,32,2090,494,393,2995,0.38338km²,7812/km²,8
3105000015935,557,525,313,741,28,751,18,751,174,150,1082,0.38281km²,2826/km²,
310500001313A,1327,1466,575,1921,285,2151,67,2076,424,274,2793,0.29838km²,9361/km²,7
310500001060A,2828,3060,980,3885,1023,4791,117,4830,622,421,5888,1.189km²,4952/km²,12
3105000010686,1306,1404,484,1787,436,2168,58,2178,353,174,2710,0.35662km²,7599/km²,
3105000013996,846,926,315,1307,134,1440,17,1430,159,163,1772,0.37097km²,4777/km²,3
3105000015687,1379,1451,813,1922,91,1995,22,1822,601,390,2830,0.35821km²,7900/km²,11
3105000014354,419,441,284,557,19,554,22,516,169,175,860,0.13901km²,6187/km²,
3105000012771,1431,1573,572,2271,161,2400,32,2364,384,253,3004,0.29356km²,10233/km²,
3105000015738,958,1021,494,1415,70,1470,15,1423,311,243,1979,0.29717km²,6659/km²,
3105000016153,530,526,280,742,34,767,9,646,126,284,1056,0.092320km²,11438/km²,
3105000012964,1006,1050,436,1446,174,1563,57,1526,307,223,2056,0.36902km²,5572/km²,
3105000011824,1721,1814,712,2471,349,2745,78,2806,446,277,3535,0.65961km²,5359/km²,
3105000014142,775,834,339,1088,178,1245,25,1287,226,86,1609,0.096390km²,16693/km²,
3105000012292,745,771,208,1136,142,1278,30,1114,244,125,1516,0.44750km²,3388/km²,
3105000012358,97,113,14,124,72,196,,178,13,15,210,0.23134km²,907.8/km²,
3105000010440,350,410,48,467,245,709,3,518,85,145,760,0.54284km²,1400/km²,9
3105000013036,704,785,182,1088,216,1292,15,1259,115,104,1489,0.43579km²,3417/km²,7
3105000010506,250,279,81,330,118,448,,387,85,50,529,0.60937km²,868.1/km²,
3105000012841,749,780,326,1043,160,1166,37,1093,293,138,1529,0.21853km²,6997/km²,5
310500001199A,633,586,234,871,114,926,59,1044,73,93,1219,1.819km²,670.3/km²,
3105000754439,9,12,4,16,,17,,15,,5,21,0.081990km²,256.1/km²,
3105000013905,1358,1572,477,2211,224,2440,13,2228,294,382,2930,0.59060km²,4961/km²,5
3105000010455,158,221,27,264,88,334,18,296,10,69,379,0.62885km²,602.7/km²,3
3105000013106,860,958,378,1295,141,1428,12,1343,293,176,1818,0.22767km²,7985/km²,
3105000012428,800,848,223,1146,278,1397,28,1289,159,190,1648,0.41660km²,3956/km²,3
3105000013572,965,1136,349,1617,135,1713,39,1724,232,143,2101,0.46631km²,4506/km²,
3105000012894,1887,2029,768,2837,310,3095,53,3275,364,263,3916,0.43309km²,9042/km²,5
3105000011472,751,909,158,1024,476,1499,3,1486,54,109,1660,0.59693km²,2781/km²,
3105000010807,2109,2190,781,2889,629,3419,99,3388,537,365,4299,0.57695km²,7451/km²,5
3105000014509,598,613,230,916,65,961,20,846,237,120,1211,0.22664km²,5343/km²,4
3105000015649,1357,1480,623,2102,112,2204,10,2198,362,254,2837,0.28108km²,10093/km²,6
3105000014123,1120,1248,469,1573,326,1817,82,1847,359,160,2368,0.31037km²,7630/km²,
3105000015117,777,799,353,1086,130,1151,72,1048,323,197,1576,0.38275km²,4118/km²,
3105000012786,1665,1767,607,2650,172,2795,30,2695,413,317,3432,0.31386km²,10935/km²,
3105000010436,778,996,179,1087,497,1577,18,1302,194,254,1774,0.49541km²,3581/km²,12
3105000015013,862,893,282,1260,174,1402,71,1374,208,127,1755,0.39639km²,4427/km²,6
3105000015386,,,,,,3,,,,,3,0.90317km²,3.322/km²,
3105000014091,268,317,59,350,176,523,3,454,40,84,585,0.33556km²,1743/km²,7
3105000013178,821,921,326,1193,223,1407,9,1354,283,103,1742,0.20290km²,8586/km²,
3105000016401,778,823,328,1080,193,1237,36,1173,307,115,1601,0.25120km²,6373/km²,4
3105000011504,701,840,171,921,449,1355,15,1222,117,188,1541,0.50658km²,3042/km²,8
3105000010510,106,105,23,142,46,184,4,149,23,35,211,0.56407km²,374.1/km²,
3105000010281,434,544,124,623,231,840,14,785,91,100,978,0.43450km²,2251/km²,
3105000016172,60,59,37,81,,82,,74,36,9,119,0.015730km²,7565/km²,
310500001231A,1418,1617,376,2419,240,2648,11,2388,317,321,3035,0.38751km²,7832/km²,5
3105000012381,297,360,77,391,189,575,5,580,19,41,657,0.22332km²,2942/km²,4
3105000011699,787,868,154,1185,316,1489,12,1341,148,123,1655,0.66768km²,2479/km²,7
3105000013426,808,931,211,1391,137,1528,,1377,188,157,1739,0.25242km²,6889/km²,4
310500001530A,1047,1228,358,1531,386,1879,38,1924,190,158,2275,0.36356km²,6258/km²,
3105000015795,729,758,394,1033,60,1085,8,1057,240,179,1487,0.29789km²,4992/km²,11
310500001306A,1477,1523,604,1939,448,2301,95,2360,431,189,3000,0.50714km²,5916/km²,10
3105000014299,126,105,59,149,23,160,12,154,26,49,231,0.35805km²,645.2/km²,
3105000012409,346,428,65,491,218,704,5,661,46,48,774,0.41563km²,1862/km²,13
310500001466A,1516,1809,612,2495,218,2703,10,2645,339,323,3325,0.59928km²,5548/km²,4
3105000012201,1102,1186,383,1627,238,1876,29,1739,289,208,2288,0.52416km²,4365/km²,4
3105000014532,118,140,56,193,9,202,,175,45,38,258,0.035240km²,7321/km²,
310500001384A,1541,1613,688,2356,110,2438,28,2363,415,361,3154,0.59071km²,5339/km²,13
3105000010741,1552,1573,555,2097,473,2515,55,2618,260,241,3125,0.43380km²,7204/km²,
3105000014710,208,191,116,263,20,261,22,242,87,70,399,0.057710km²,6914/km²,
3105000016134,646,641,361,854,72,882,44,812,304,171,1287,0.68847km²,1869/km²,
3105000011218,1034,1166,377,1352,471,1790,33,1822,272,105,2200,0.33897km²,6490/km²,
3105000015634,869,941,326,1404,77,1473,11,1347,272,187,1810,0.32716km²,5532/km²,
3105000010421,1090,1191,344,1411,526,1921,16,1818,211,229,2281,0.87700km²,2601/km²,4
3105000016416,362,379,184,501,56,523,34,431,191,116,741,0.49177km²,1507/km²,
3105000010296,435,564,90,625,279,898,11,782,63,139,999,0.45372km²,2202/km²,5
3105000015225,466,576,104,655,283,922,16,853,51,131,1042,0.47597km²,2189/km²,5
3105000012644,1049,1104,359,1475,319,1755,39,1699,261,183,2153,0.34212km²,6293/km²,4
3105000016628,1740,1880,856,2580,184,2759,5,2689,508,406,3620,0.85821km²,4218/km²,12
3105000016505,1070,1109,431,1605,143,1714,34,1578,310,274,2179,1.676km²,1300/km²,3
3105000011843,1534,1577,691,2159,261,2302,118,2131,482,488,3111,0.77102km²,4035/km²,4
3105000013197,650,739,221,950,218,1157,11,1117,203,68,1389,0.16361km²,8490/km²,
3105000012451,754,809,304,1127,132,1219,40,1170,239,147,1563,0.78103km²,2001/km²,6
3105000010525,756,830,163,1007,416,1402,21,1305,156,115,1586,0.67929km²,2335/km²,
3105000015850,730,777,381,1076,45,1123,3,1133,191,175,1507,0.30338km²,4967/km²,3
3105000013271,1360,1521,609,2039,229,2215,57,2182,414,277,2881,0.49968km²,5766/km²,3
3105000014068,536,655,126,772,262,1054,11,951,92,113,1191,0.37158km²,3205/km²,
3105000011487,1004,1077,343,1382,356,1715,23,1640,210,223,2081,0.38702km²,5377/km²,8
3105000010667,1708,1868,570,2400,597,2941,65,3024,301,239,3576,0.56504km²,6329/km²,3
3105000012502,805,890,196,1233,211,1492,7,1436,75,120,1695,0.96331km²,1760/km²,7
3105000010671,1783,1919,609,2443,650,3038,55,2902,481,315,3702,0.59610km²,6210/km²,3
3105000011561,764,818,131,1208,243,1445,6,1213,96,263,1582,0.49512km²,3195/km²,7
3105000013869,328,335,191,444,28,449,23,419,117,127,663,0.11617km²,5707/km²,
3105000013549,,,,,,,,,,,0,0.36898km²,0/km²,
3105000015189,816,951,318,1315,134,1442,7,1434,173,153,1767,0.38530km²,4586/km²,4
3105000012610,843,947,376,1276,138,1396,18,1408,282,96,1790,0.15075km²,11874/km²,4
3105000015846,1077,1115,542,1550,93,1647,3,1613,277,273,2192,0.49919km²,4391/km²,18
310500001288A,1560,1719,650,2324,304,2545,84,2558,427,284,3279,0.56572km²,5796/km²,8
3105000012606,777,808,263,1110,212,1293,29,1234,162,184,1585,0.40147km²,3948/km²,4
3105000015776,1409,1511,628,2150,139,2287,5,2252,321,328,2920,0.70625km²,4135/km²,14
3105000014284,598,691,253,953,83,1031,5,985,90,204,1289,1.560km²,826.4/km²,
3105000014621,685,766,246,1064,140,1194,11,1206,97,125,1451,0.39463km²,3677/km²,4
3105000015032,857,854,344,1208,150,1314,53,1167,317,218,1711,0.20941km²,8171/km²,
310500001039A,1287,1385,462,1811,399,2120,90,2136,327,205,2672,0.34810km²,7676/km²,
3105000012875,1109,1204,396,1506,411,1865,52,1884,283,143,2313,0.38950km²,5938/km²,
3105000014937,14,8,5,14,3,17,,21,,,22,1.383km²,15.91/km²,
3105000016488,1266,1307,420,1856,297,2094,59,1853,371,311,2573,0.47377km²,5431/km²,11
3105000015761,594,610,230,944,30,974,,816,180,204,1204,1.215km²,991.3/km²,3
3105000010366,1159,1336,374,1582,539,2087,34,2095,205,188,2495,0.49880km²,5002/km²,6
3105000016825,3472,3772,2006,5041,196,5208,30,5126,1098,886,7244,1.327km²,5460/km²,14
3105000015210,343,408,79,428,242,668,4,629,30,74,751,0.56866km²,1321/km²,11
3105000013801,1444,1455,584,2199,116,2282,33,2223,414,252,2899,0.24648km²,11762/km²,8
3105000933816,69,59,31,92,5,97,,92,23,13,128,0.20615km²,620.9/km²,
3105000013182,1178,1317,425,1771,295,2048,22,2023,294,165,2495,0.25972km²,9606/km²,3
3105000013676,451,473,161,666,97,757,6,793,66,54,924,0.35704km²,2588/km²,6
3105000012926,786,890,248,1236,163,1420,8,1357,185,105,1676,0.48001km²,3492/km²,
3105000015136,2359,2482,1245,3454,142,3573,23,3592,743,497,4841,0.52128km²,9287/km²,6
3105000011453,357,420,70,527,178,707,,678,40,55,777,0.43871km²,1771/km²,
3105000011805,1492,1699,440,2319,429,2706,45,2546,314,303,3191,0.66685km²,4785/km²,12
3105000015757,1349,1442,725,1962,104,2061,5,1890,480,407,2791,0.60175km²,4638/km²,11
3105000012714,731,820,217,1036,298,1315,19,1289,162,92,1551,0.29829km²,5200/km²,7
3105000013746,1762,1920,504,2887,275,3164,14,2703,418,528,3682,0.67387km²,5464/km²,11
3105000010347,1417,1656,440,1984,634,2591,42,2522,303,219,3073,0.63326km²,4853/km²,12
3105000012748,908,1051,230,1485,244,1721,8,1588,174,191,1959,0.61943km²,3163/km²,5
3105000014157,749,770,286,1091,142,1217,16,1251,162,104,1519,0.092230km²,16470/km²,
3105000010402,1057,1191,400,1504,333,1813,35,1751,282,199,2248,0.34853km²,6450/km²,4
3105000016543,860,927,279,1331,177,1501,7,1381,169,213,1787,0.53054km²,3368/km²,4
3105000012447,763,901,225,1051,388,1426,13,1432,107,123,1664,0.36683km²,4536/km²,
3105000014528,254,281,126,397,12,409,,431,54,48,535,0.041320km²,12948/km²,
3105000012911,1195,1268,365,1758,312,2065,33,1913,276,236,2463,0.40925km²,6018/km²,6
3105000014617,460,554,119,712,183,880,15,864,54,93,1014,0.26750km²,3791/km²,
3105000011684,475,496,378,581,12,593,,667,120,165,971,0.84288km²,1152/km²,
3105000014636,1031,1194,333,1760,127,1885,7,1799,202,210,2225,0.27498km²,8091/km²,5
3105000014852,342,470,85,484,240,720,7,705,34,66,812,0.25019km²,3246/km²,
3105000012945,1103,1234,434,1565,338,1861,42,1857,297,169,2337,0.28594km²,8173/km²,11
310500001605A,1457,1414,795,1951,125,1975,101,1723,678,466,2871,0.63912km²,4492/km²,
310500001473A,1702,1708,988,2316,106,2356,66,2279,644,481,3410,0.71685km²,4757/km²,4
3105000015511,103,99,55,139,8,147,,142,40,19,202,0.084150km²,2400/km²,
3105000013040,868,1084,271,1292,387,1644,37,1389,305,238,1952,0.36678km²,5322/km²,9
3105000012822,919,950,393,1339,137,1407,69,1433,301,130,1869,0.49410km²,3783/km²,
3105001116276,80,72,46,102,4,101,5,122,17,13,152,0.18589km²,817.7/km²,
3105000015865,1087,1248,568,1683,84,1760,7,1723,287,322,2335,0.92713km²,2519/km²,3
3105000016473,1225,1441,429,1882,355,2198,39,2015,339,305,2666,0.48228km²,5528/km²,6
3105000014725,1265,1273,619,1778,141,1799,120,1602,580,355,2538,1.009km²,2515/km²,
3105000013657,601,650,264,884,103,949,38,875,174,193,1251,0.40031km²,3125/km²,
3105000014994,610,643,209,925,119,1031,13,928,150,167,1253,0.31976km²,3919/km²,5
3105000012413,1379,1584,418,2081,464,2502,43,2330,391,234,2963,0.71524km²,4143/km²,
3105000013799,909,943,323,1433,96,1509,20,1448,222,169,1852,0.18820km²,9841/km²,12
3105000013591,132,157,48,232,9,238,3,253,,35,289,0.88435km²,326.8/km²,
3105000011557,636,671,193,953,150,1107,7,1144,44,98,1307,0.46754km²,2795/km²,
3105000013093,1321,1485,552,1940,313,2218,36,2177,406,213,2806,0.24428km²,11487/km²,3
3105000014848,368,429,104,549,140,684,9,648,75,66,797,0.30615km²,2603/km²,3
3105000012343,120,109,17,157,49,212,,190,8,25,229,0.30115km²,760.4/km²,
3105000015422,631,699,336,954,40,973,21,915,220,195,1330,0.27881km²,4770/km²,
3105000012733,1233,1355,395,1878,314,2141,52,1934,341,298,2588,0.61148km²,4232/km²,
3105000010224,297,397,54,418,222,637,3,510,47,129,694,0.85906km²,807.9/km²,7
3105000013286,1274,1355,620,1731,278,1865,144,1770,508,347,2629,0.40073km²,6561/km²,
3105000754443,1126,1119,512,1535,198,1601,132,2026,129,84,2245,1.054km²,2130/km²,
3105000776312,15,10,9,16,,16,,7,18,,25,0.014610km²,1711/km²,
3105000010262,1442,1571,440,1926,592,2526,47,2435,277,229,3013,0.79664km²,3782/km²,7
3105000015174,951,1093,311,1576,155,1729,4,1711,179,141,2044,0.36679km²,5573/km²,5
3105000010332,1296,1390,358,1773,555,2309,19,2227,219,227,2686,0.95199km²,2821/km²,8
3105000013341,626,678,203,892,121,1076,25,872,233,109,1304,0.33537km²,3888/km²,
3105000013017,1246,1470,420,1919,377,2287,9,2179,274,242,2716,0.40744km²,6666/km²,13
3105000012362,133,177,14,201,95,296,,276,4,27,310,0.23250km²,1333/km²,
3105000014250,1540,1576,647,2292,177,2399,70,2444,387,281,3116,0.64663km²,4819/km²,3
3105000016350,3,6,,6,,9,,,,7,9,0.022380km²,402.1/km²,
3105000015297,708,821,217,1022,287,1297,15,1233,187,97,1529,0.55331km²,2763/km²,3
3105000016524,1241,1283,394,1988,142,2123,7,1874,350,279,2524,0.29133km²,8664/km²,6
3105000012288,1649,1915,466,2787,306,3088,10,2747,335,454,3564,0.41153km²,8660/km²,4
3105000012377,118,167,30,177,78,255,,251,17,11,285,0.21329km²,1336/km²,5
3105000012254,987,1095,310,1590,177,1750,22,1583,293,196,2082,0.39666km²,5249/km²,
3105000014212,1165,1277,456,1592,387,1906,80,1901,346,183,2442,0.35977km²,6788/km²,4
3105000010328,518,645,127,707,329,1032,4,899,79,173,1163,0.62248km²,1868/km²,11
3105000011576,685,789,190,1089,195,1272,12,1189,135,146,1474,0.50635km²,2911/km²,
3105000012625,646,677,266,981,74,1045,12,1038,128,154,1323,1.302km²,1016/km²,
3105000016384,918,1098,329,1254,433,1665,22,1725,171,116,2016,0.17447km²,11555/km²,
3105000012485,427,491,128,582,208,786,4,765,80,72,918,0.25526km²,3596/km²,
3105000012080,923,917,390,1335,115,1416,34,1245,387,206,1840,0.29380km²,6263/km²,
3105000016007,149,173,105,199,18,210,7,157,90,75,322,0.19255km²,1672/km²,
3105000015009,779,834,258,1248,107,1344,11,1291,175,125,1613,0.56798km²,2840/km²,15
3105000015348,963,1098,391,1384,275,1628,42,1692,201,151,2061,0.30298km²,6802/km²,5
3105000012339,800,855,221,1105,305,1417,17,1349,168,111,1655,0.19417km²,8523/km²,
3105000016204,,,,,,,,,,,0,0.021400km²,0/km²,
3105000015390,16,17,12,20,,21,,30,,3,33,1.342km²,24.59/km²,
310500001338A,1490,1586,472,2353,251,2573,31,2298,351,398,3076,0.49389km²,6228/km²,10
310500001402A,761,812,375,1103,95,1138,60,1045,342,171,1573,0.52053km²,3022/km²,4
3105000010313,1023,1182,263,1401,520,1913,29,1498,231,447,2205,0.55044km²,4006/km²,7
3105000013712,1326,1445,413,2184,174,2353,5,2171,287,302,2771,0.31424km²,8818/km²,10
3105000015704,799,838,448,1127,58,1176,13,1217,243,165,1637,0.27568km²,5938/km²,5
310500001377A,2203,2352,854,3478,223,3676,25,3617,560,374,4555,0.78670km²,5790/km²,
3105000010737,1444,1595,521,2003,489,2457,61,2491,328,188,3039,0.41829km²,7265/km²,3
3105000012235,953,1142,230,1343,514,1857,8,1722,165,182,2095,0.32349km²,6476/km²,7
3105000014265,223,202,82,332,11,343,,307,49,68,425,0.088620km²,4796/km²,
3105000013356,896,944,268,1461,111,1560,12,1469,196,167,1840,0.42813km²,4298/km²,7
310500001345A,553,528,210,808,63,847,24,836,97,127,1081,1.159km²,932.5/km²,21
3105000015121,888,934,411,1264,147,1345,66,1221,365,233,1822,0.41267km²,4415/km²,
3105000012930,880,960,287,1208,345,1512,41,1518,200,113,1840,0.28708km²,6409/km²,8
3105000015066,565,658,181,922,120,1039,3,1044,63,98,1223,0.36649km²,3337/km²,18
3105000014674,74,74,45,98,5,98,5,91,30,27,148,0.12339km²,1199/km²,
3105001114405,2111,1984,1185,2671,203,2663,247,3129,601,328,4095,2.275km²,1800/km²,
3105000014693,1046,1127,507,1512,134,1614,52,1296,557,298,2173,0.35833km²,6064/km²,
3105000011650,709,739,334,998,111,1085,29,1145,176,111,1448,0.19310km²,7499/km²,8
3105000015155,1358,1415,727,1899,147,1932,114,1597,691,478,2773,0.47737km²,5809/km²,
310500001391A,1985,2072,803,3101,153,3236,18,3089,548,413,4057,0.55271km²,7340/km²,4
3105000010417,1293,1411,488,1811,400,2164,52,2101,368,229,2704,0.43210km²,6258/km²,
3105000013943,1631,1784,866,2373,124,2495,54,2373,625,360,3415,0.69756km²,4896/km²,5
3105000010648,1438,1517,497,1890,568,2421,37,2461,354,138,2955,0.43683km²,6765/km²,
3105000016168,7,7,4,10,,10,,6,,7,14,0.20551km²,68.12/km²,
3105000844373,186,174,87,252,21,256,17,279,44,33,360,0.54848km²,656.4/km²,3
3105000014335,301,312,126,474,13,487,,471,100,41,613,0.13304km²,4608/km²,
3105000012837,740,714,304,1027,123,1115,35,1113,207,131,1454,0.29056km²,5004/km²,3
3105000012697,503,521,213,708,103,786,25,707,133,184,1024,0.36956km²,2771/km²,
3105000014049,1850,1947,898,2732,154,2832,67,2819,579,384,3797,0.48876km²,7769/km²,
3105000013021,956,1102,248,1453,357,1795,15,1661,206,187,2058,0.31499km²,6534/km²,
3105000014833,553,591,148,850,146,972,24,935,127,76,1144,0.29444km²,3885/km²,
3105000015600,1167,1401,528,1862,178,2040,,2133,85,319,2568,1.085km²,2368/km²,10
3105000015920,63,80,20,113,10,123,,104,14,23,143,0.11543km²,1239/km²,
310500001295A,2013,2090,832,2768,503,3188,83,3181,585,323,4103,0.63744km²,6437/km²,
3105000014602,709,760,232,1130,107,1232,5,1209,102,134,1469,0.63457km²,2315/km²,
3105000015992,,,,,,24,,,,,24,0.86196km²,27.84/km²,
3105000012273,1257,1436,425,1966,292,2250,18,2038,342,300,2693,0.27792km²,9690/km²,
310500001587A,441,535,237,706,33,735,4,744,132,99,976,0.64528km²,1513/km²,
310500001270A,770,731,306,1070,125,1168,27,1130,230,139,1501,0.34907km²,4300/km²,
3105000012220,837,1038,233,1181,445,1638,4,1510,236,109,1875,0.24295km²,7718/km²,
3105000012324,774,905,210,1144,325,1461,8,1343,132,201,1679,0.17205km²,9759/km²,
3105000016149,1182,1178,667,1598,95,1646,47,1547,472,338,2360,0.49117km²,4805/km²,3
3105000010188,707,831,124,969,445,1404,10,1268,94,168,1538,0.42623km²,3608/km²,
3105000010120,649,795,160,947,337,1263,21,1221,103,111,1444,0.32571km²,4433/km²,4
3105000014496,1418,1605,416,2365,242,2598,9,2370,301,332,3023,0.43216km²,6995/km²,13
3105000015085,859,977,286,1228,319,1516,34,1504,180,148,1836,0.30147km²,6090/km²,
3105000013360,1071,1210,367,1738,176,1879,35,1602,352,305,2281,0.39785km²,5733/km²,5
3105000011345,1038,1175,382,1444,387,1805,26,1822,265,118,2213,0.55355km²,3998/km²,
310500001181A,1312,1449,526,1951,284,2149,86,2148,380,233,2761,0.60730km²,4546/km²,
